,0,1,2,Xt
59,880.0,1050.0,1190.0,1250.0
60,1050.0,1190.0,1250.0,1330.0
61,1190.0,1250.0,1330.0,1400.0
62,1250.0,1330.0,1400.0,1350.0
63,1330.0,1400.0,1350.0,1690.0
64,1400.0,1350.0,1690.0,1560.0
65,1350.0,1690.0,1560.0,1520.0
66,1690.0,1560.0,1520.0,1640.0
67,1560.0,1520.0,1640.0,1730.0
68,1520.0,1640.0,1730.0,2025.0
69,1640.0,1730.0,2025.0,2000.0
70,1730.0,2025.0,2000.0,1860.0
71,2025.0,2000.0,1860.0,1930.0
72,2000.0,1860.0,1930.0,2200.0
73,1860.0,1930.0,2200.0,2525.0
74,1930.0,2200.0,2525.0,2575.0
75,2200.0,2525.0,2575.0,2825.0
76,2525.0,2575.0,2825.0,2925.0
77,2575.0,2825.0,2925.0,2325.0
78,2825.0,2925.0,2325.0,2275.0
79,2925.0,2325.0,2275.0,2800.0
80,2325.0,2275.0,2800.0,2400.0
81,2275.0,2800.0,2400.0,2275.0
82,2800.0,2400.0,2275.0,2250.0
83,2400.0,2275.0,2250.0,1960.0
84,2275.0,2250.0,1960.0,1090.0
85,2250.0,1960.0,1090.0,970.0
86,1960.0,1090.0,970.0,930.0
87,1090.0,970.0,930.0,980.0
88,970.0,930.0,980.0,880.0
89,930.0,980.0,880.0,940.0
90,980.0,880.0,940.0,1280.0
91,880.0,940.0,1280.0,1780.0
92,940.0,1280.0,1780.0,1890.0
93,1280.0,1780.0,1890.0,2275.0
94,1780.0,1890.0,2275.0,2500.0
95,1890.0,2275.0,2500.0,3025.0
96,2275.0,2500.0,3025.0,3075.0
97,2500.0,3025.0,3075.0,3075.0
98,3025.0,3075.0,3075.0,3550.0
99,3075.0,3075.0,3550.0,3600.0
100,3075.0,3550.0,3600.0,3800.0
101,3550.0,3600.0,3800.0,3775.0
102,3600.0,3800.0,3775.0,3900.0
103,3800.0,3775.0,3900.0,3650.0
104,3775.0,3900.0,3650.0,4150.0
105,3900.0,3650.0,4150.0,4625.0
106,3650.0,4150.0,4625.0,4550.0
107,4150.0,4625.0,4550.0,5450.0
108,4625.0,4550.0,5450.0,5200.0
109,4550.0,5450.0,5200.0,4575.0
110,5450.0,5200.0,4575.0,4875.0
111,5200.0,4575.0,4875.0,4700.0
112,4575.0,4875.0,4700.0,4750.0
113,4875.0,4700.0,4750.0,5400.0
114,4700.0,4750.0,5400.0,5550.0
115,4750.0,5400.0,5550.0,5400.0
116,5400.0,5550.0,5400.0,5750.0
117,5550.0,5400.0,5750.0,6350.0
118,5400.0,5750.0,6350.0,6100.0
119,5750.0,6350.0,6100.0,5050.0
120,6350.0,6100.0,5050.0,5250.0
121,6100.0,5050.0,5250.0,4700.0
122,5050.0,5250.0,4700.0,4600.0
123,5250.0,4700.0,4600.0,4800.0
124,4700.0,4600.0,4800.0,5100.0
125,4600.0,4800.0,5100.0,4850.0
126,4800.0,5100.0,4850.0,4850.0
127,5100.0,4850.0,4850.0,4725.0
128,4850.0,4850.0,4725.0,4850.0
129,4850.0,4725.0,4850.0,5400.0
130,4725.0,4850.0,5400.0,5400.0
131,4850.0,5400.0,5400.0,5650.0
132,5400.0,5400.0,5650.0,5700.0
133,5400.0,5650.0,5700.0,5850.0
134,5650.0,5700.0,5850.0,5850.0
135,5700.0,5850.0,5850.0,6050.0
136,5850.0,5850.0,6050.0,7300.0
137,5850.0,6050.0,7300.0,7450.0
138,6050.0,7300.0,7450.0,7350.0
139,7300.0,7450.0,7350.0,7350.0
140,7450.0,7350.0,7350.0,7350.0
141,7350.0,7350.0,7350.0,6500.0
142,7350.0,7350.0,6500.0,6500.0
143,7350.0,6500.0,6500.0,7050.0
144,6500.0,6500.0,7050.0,6650.0
145,6500.0,7050.0,6650.0,6650.0
146,7050.0,6650.0,6650.0,6600.0
147,6650.0,6650.0,6600.0,6975.0
148,6650.0,6600.0,6975.0,7175.0
149,6600.0,6975.0,7175.0,7300.0
150,6975.0,7175.0,7300.0,7050.0
151,7175.0,7300.0,7050.0,6825.0
152,7300.0,7050.0,6825.0,6700.0
153,7050.0,6825.0,6700.0,7075.0
154,6825.0,6700.0,7075.0,6875.0
155,6700.0,7075.0,6875.0,7000.0
156,7075.0,6875.0,7000.0,6825.0
157,6875.0,7000.0,6825.0,6700.0
158,7000.0,6825.0,6700.0,6750.0
159,6825.0,6700.0,6750.0,7550.0
160,6700.0,6750.0,7550.0,7400.0
161,6750.0,7550.0,7400.0,7450.0
162,7550.0,7400.0,7450.0,6750.0
163,7400.0,7450.0,6750.0,7300.0
164,7450.0,6750.0,7300.0,6575.0
